Platform,qtr,Forecast_3m
Modular_Attach_ 2.4T,Q1FY22,336318
Modular_Attach_ 2.4T,Q2FY21,73182
Modular_Attach_ 2.4T,Q2FY22,92527
Modular_Attach_ 2.4T,Q3FY21,125149
Modular_Attach_ 2.4T,Q3FY22,111869
Modular_Attach_ 2.4T,Q4FY21,90124
Modular_Attach_ 2.4T,Q4FY22,75816
Modular_Attach_ 3.6T,Q1FY22,4161
Modular_Attach_ 3.6T,Q2FY21,3870
Modular_Attach_ 3.6T,Q2FY22,3649
Modular_Attach_ 3.6T,Q3FY21,4130
Modular_Attach_ 3.6T,Q3FY22,2415
Modular_Attach_ 3.6T,Q4FY21,3728
Modular_Attach_ 3.6T,Q4FY22,1756
Modular_Attach_ 4.8T,Q1FY22,110
Modular_Attach_ 4.8T,Q2FY22,160
Modular_Attach_ 4.8T,Q3FY22,139
Modular_Attach_ 4.8T,Q4FY21,1252
Modular_Attach_ 4.8T,Q4FY22,114
Modular_Attach_ 7.2T,Q1FY22,64
Modular_Attach_ 7.2T,Q2FY21,26
Modular_Attach_ 7.2T,Q2FY22,100
Modular_Attach_ 7.2T,Q3FY21,44
Modular_Attach_ 7.2T,Q3FY22,105
Modular_Attach_ 7.2T,Q4FY21,126
Modular_Attach_ 7.2T,Q4FY22,63
Modular_Attach_ 800G,Q1FY22,3
Modular_Attach_ 800G,Q2FY21,8
Modular_Attach_ 800G,Q4FY21,4
Modular_Attach_ 9.6T,Q1FY22,2131
Modular_Attach_ 9.6T,Q2FY21,100749
Modular_Attach_ 9.6T,Q2FY22,1830
Modular_Attach_ 9.6T,Q3FY21,1590
Modular_Attach_ 9.6T,Q3FY22,1827
Modular_Attach_ 9.6T,Q4FY21,4377
Modular_Attach_ 9.6T,Q4FY22,1392
Modular_Attach_ 900G,Q1FY22,1020
Modular_Attach_ 900G,Q2FY21,146
Modular_Attach_ 900G,Q2FY22,808
Modular_Attach_ 900G,Q3FY21,2557
Modular_Attach_ 900G,Q3FY22,662
Modular_Attach_ 900G,Q4FY21,2286
Modular_Attach_ 900G,Q4FY22,812
NCS_Fixed - 1.2T,Q2FY22,1
NCS_Fixed - 1.2T,Q3FY22,26
NCS_Fixed - 2.4T,Q1FY22,328
NCS_Fixed - 2.4T,Q2FY21,594
NCS_Fixed - 2.4T,Q2FY22,337
NCS_Fixed - 2.4T,Q3FY21,569
NCS_Fixed - 2.4T,Q3FY22,5380
NCS_Fixed - 2.4T,Q4FY21,352
NCS_Fixed - 2.4T,Q4FY22,310
NCS_Fixed - 3.2T,Q1FY22,15637
NCS_Fixed - 3.2T,Q2FY22,396
NCS_Fixed - 3.2T,Q3FY22,586
NCS_Fixed - 3.2T,Q4FY21,0
NCS_Fixed - 3.2T,Q4FY22,937
NCS_Fixed - 3.6T,Q1FY22,6946
NCS_Fixed - 3.6T,Q2FY21,5451
NCS_Fixed - 3.6T,Q2FY22,5107
NCS_Fixed - 3.6T,Q3FY21,5218
NCS_Fixed - 3.6T,Q3FY22,3179
NCS_Fixed - 3.6T,Q4FY21,5775
NCS_Fixed - 3.6T,Q4FY22,5895
NCS_Fixed - 4.4T,Q1FY22,55
NCS_Fixed - 4.4T,Q2FY22,36
NCS_Fixed - 4.4T,Q3FY21,13139155
NCS_Fixed - 4.4T,Q3FY22,105
NCS_Fixed - 4.4T,Q4FY21,43176920
NCS_Fixed - 4.4T,Q4FY22,39
NCS_Fixed - 4.8T,Q1FY22,84
NCS_Fixed - 4.8T,Q2FY22,104
NCS_Fixed - 4.8T,Q3FY21,13899467
NCS_Fixed - 4.8T,Q3FY22,102
NCS_Fixed - 4.8T,Q4FY21,36130
NCS_Fixed - 4.8T,Q4FY22,102
NCS_Fixed - 800G,Q1FY22,1107
NCS_Fixed - 800G,Q2FY21,670
NCS_Fixed - 800G,Q2FY22,1589
NCS_Fixed - 800G,Q3FY21,860
